"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahrain","BHR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","6243.78535390235","7563.7372572643","7848.16106075269","7850.62463831625","7702.13735211102","5450.36224602394","4691.29255127434","5152.74087461783","5758.35671944963","5869.66952483811","7448.94950407016","8115.33206424076","7818.01255514185","7939.74333693133","8279.26479411743","8870.71706319569","9097.49248403321","8864.56568502401","8529.10751167096","8566.35449786693","11423.2622736539","10618.7208125009","10665.655821069","11826.7227550955","13311.2126036277","15445.8785535684","16671.496117869","18365.1622704045","19745.0201300395","15310.2029870255","16652.6618883353","16804.1702691894","19942.5100699164","20631.1238179787","20622.1171023372","18915.025707967","19277.4906806251","20137.8177497724","20217.3483594818","19490.4967773057","",
"Bahamas, The","BHS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","5417.53683804683","5541.5460116697","6151.80960263757","6636.39042567948","7689.60377217173","8618.80085149443","8983.33376985988","9802.17213967185","10082.4614288121","10997.4011141679","10973.7383436459","10609.130525626","10747.6471353473","10278.4867075589","10555.948629296","13109.6987531622","14916.6003369217","20285.7521064716","21539.1776810378","24099.8152607844","24839.5428048844","25046.7987950028","26397.3891107562","25951.919031352","25979.8741044517","27717.5912709206","27903.3957834617","28657.3431238088","28278.4045860926","26081.3714172288","25769.5689756172","25452.8179435799","27202.0561868938","26640.6216986861","26500.4396636199","27331.8914435629","27695.5884716755","29371.127588684","29628.9010247996","31439.6589938079","",
"Bosnia and Herzegovina","BIH","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237.094818380683","377.966798340698","644.49136302642","870.95870936271","1249.16608444627","1359.73924666084","1504.42943375543","1538.16125122712","1741.39230928273","2140.65707679427","2640.90664028005","2792.03263128694","3162.28495887255","3777.17059839226","4655.57597795969","4274.49346064175","4051.15858591723","4338.66527039964","3991.29684896965","4323.68413583758","4414.40795733551","3925.67840721493","4156.47778418748","4513.79622868003","5071.97432561427","5113.44435730803","",
"Belarus","BLR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1381.49689337675","1332.74084786497","1216.90695331166","1131.97147480106","1198.74091385888","1141.69552639451","1242.74516667283","990.064666146183","1051.38356740565","1031.49134433374","1227.86388407199","1516.25989995116","1969.8577765379","2589.87860231141","3175.46179394492","3878.41420616672","5199.67468904952","4357.60892491555","4845.1796040842","5168.71295295383","5504.98860467135","6232.92988978766","6571.78396540387","4641.47502419255","3922.62260739259","4527.9011117453","4975.78581370886","5283.94448178631","",
"Belize","BLZ","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1283.15859885605","1234.34971012237","1083.1786101074","1106.62637557306","1192.30497081165","1135.03834994213","1236.58262101261","1467.6477840541","1633.24672362265","1832.66279720375","2016.13441113116","2126.11820405273","2427.56844297935","2568.21646303366","2612.81897919854","2733.82246940641","2738.99595827808","2711.96660856499","2723.33003459182","2727.93974103412","2660.90289325027","2642.52781763923","2750.59668337237","2782.67768966175","2821.5933239778","2901.30018569086","2998.91846432832","2927.02411196142","2926.2678556876","3100.61879399326","2962.25744471505","3132.50415959048","3242.92459359024","3371.60417176504","3495.17451826076","3767.04710316854","3761.91276692454","3757.8718652569","3572.21157984123","3549.69801895548","",
"Bermuda","BMU","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","480.697254246543","543.167387319448","605.312660111535","665.759385951892","634.626193709377","847.44826787562","784.907138586959","751.988820206865","853.626712835592","736.232157761934","530.86560004997","575.429821654619","590.089505832192","588.954087901363","601.065797507871","664.117428368335","696.327043063313","695.110070646967","708.273334435687","780.213214966861","848.078518499292","893.840824595456","951.548119626385","888.858473439136","862.288675883334","826.113048976382","785.317498661277","772.656577913361","787.537928850474","818.066708923247","944.923645454376","1061.11686329676","1388.31027537499","1462.52167813324","1593.02298917594","1865.17179229036","2025.87131756345","2265.98037913892","2466.26219297142","2578.92126261647","2650.68723707791","2788.36907966134","2936.95398075785","2986.57032985153","",
"Brazil","BRA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","407.928807752903","464.12544333009","538.891617882896","705.838395034608","912.040835004624","1038.96301747962","1248.74966194494","1411.12515224876","1556.70553607218","1689.36417539305","1691.9607078648","1841.38128572967","1899.04652740992","1325.67020963737","1330.09405369435","1378.71031774517","1651.74920746249","1798.41819920656","1982.32337095208","2791.69143536151","2727.7069624244","3547.20560987857","2336.7687270749","2495.84753867574","3066.8964684433","4304.62722330983","4632.16325700573","4706.40607508812","4477.42153820824","3020.60561660268","3305.5147058952","2775.61449488336","2477.70753496524","2691.49914134399","3164.0546515787","4165.01546558385","5140.6457943845","6428.44422878729","7651.1613839963","7607.40531143621","9774.81371541911","11492.0686331792","10786.6900755212","10878.5460614529","10674.8157871552","7831.53942738315","7743.61773516378","8818.87199998993","7850.80306405592","7628.82816050936","",
"Barbados","BRB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5303.62339069045","5803.30522631915","6163.16293506512","6863.16801287674","6787.09647315483","6837.12177501861","6664.48562481517","6965.05065087068","7218.98268389523","7283.85001998364","7707.88584048036","8144.92242604272","9173.16762822538","9501.77118169384","9799.19010537473","9719.15273816712","9825.20240562889","10052.2332615794","10766.2615025914","11804.921039725","12696.1878460705","14300.6738025522","14379.8405583638","13606.9404593524","13981.6126524829","13623.5953836089","13898.4620723407","14052.2820559645","14083.9118373034","14086.8553986768","14368.8202934467","14808.7342318418","15113.4313978351","15641.3087639485","",
"Brunei Darussalam","BRN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8988.26399069952","9539.25333863165","10913.0994150668","12009.4971126285","11406.2168941212","11097.8526819895","12407.3943951168","12899.4102075991","12911.8012871757","10400.5983832228","10925.2802032535","12544.5536195255","12143.2894325342","12980.1326924893","13967.1082030651","15849.0143368579","17936.5365036224","20943.41052884","24267.7596969751","27768.9335240846","21577.0800027221","26583.5695141751","31964.174665319","33667.7495530704","33749.2697701922","32110.2926252371","25939.2145975922","24196.0981677794","24610.3159096666","23891.3911518743","24694.5022343079","",
"Bhutan","BTN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","232.597132280966","238.599347899666","221.59164498508","233.814414997613","266.208893753491","268.143914372883","303.774488889848","393.484792659701","446.858304428698","451.015000182966","481.096797000631","382.052744114885","367.963617443962","353.952057290759","427.09956048507","442.377664596465","463.97958384467","550.423822432696","512.7168552803","531.978149954245","649.982752544042","696.460309194142","762.00196804612","853.919180825621","949.900057386758","1100.34023593882","1198.54052520135","1547.50205538057","1582.0975236806","1555.98052178216","1882.62376767005","2124.42753208847","2083.86966485382","2055.72373493559","2203.35549054516","2267.24824068167","2366.79964245067","2679.35837875718","2661.52847985876","2719.83882224867","",
"Botswana","BWA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","969.644147300045","1045.8454469947","944.600799283168","989.97060697635","956.72945243549","837.403188818182","1012.70167845702","1307.34945084913","1721.31310836707","1929.15746450539","2494.30559944589","2602.75294997276","2691.22841224441","2759.86511914132","2388.45141557319","2710.78644415533","2597.85581954599","2743.91155797655","2742.95454273277","2839.06944627464","2879.51564817174","2842.9016061023","2405.69113121288","3008.80984938356","3422.55599758314","3969.64800643684","3846.86024224216","4062.23087491536","4008.24574240487","3874.63130505593","4628.93607178971","5904.25595361714","5408.41965432475","5342.98150510745","5897.82113394955","5149.70553463651","5070.43481974459","5545.48734730256","5799.69811230991","5617.69927936339","",
