Country,Country Code,People using  safely managed drinking water services  % of population 2017,People using  safely managed sanitation services  % of population 2017,Access to electricity  % of population 2017,Renewable energy consumption  % of total final energy consumption 2015,Expenditures for R&D  % of GDP 2015,Urban population living in slums  % of urban population 2014,Ambient PM2.5 air pollution mean annual exposure micrograms per cubic meter 2016,Adjusted net savings  % of GNI 2017,Carbon dioxide emissions per capita metric tons 2014,Nationally protected terrestrial and marine areas  % of total territorial area 2018,"Intentional homicides Combined source estimates per 100,000 people 2015",Internet use Individuals using the Internet % of population 2017
Honduras,HND,NA,NA,86.5,51.5,0,27.5,21.1,19.5,1.1,10.9,57.5,31.7
Hungary,HUN,89.6,95.7,100,15.6,1.4,NA,15.9,13.2,4.3,22.6,2.3,76.8
Iceland,ISL,100,81.8,100,77,2.1,NA,6.6,16.6,6.1,2.5,0.9,98.3
India,IND,NA,NA,92.6,36,0.6,24,89.7,16.3,1.7,3.5,3.4,34.5
Indonesia,IDN,NA,NA,98.1,36.9,0.2,21.8,16.4,12,1.8,5.3,0.6,32.3
"Iran, Islamic Rep.",IRN,91.8,NA,100,0.9,0.4,NA,38.8,NA,8.4,7.7,2.5,64
Iraq,IRQ,58.8,41.1,100,0.8,0,47.2,64,-7,4.9,1.5,9.9,49.4
Ireland,IRL,97.3,82.4,100,9.1,1.2,NA,8.3,16,7.3,4,0.7,84.1
Isle of Man,IMN,97.2,NA,100,4.2,NA,NA,NA,NA,NA,4.2,1.2,NA
Israel,ISR,99.4,93.7,100,3.7,4.3,NA,20.8,15.6,7.9,8.6,1.4,81.6
Italy,ITA,95,96.2,100,16.5,1.3,NA,16.5,6,5.3,13.4,0.8,63.1
Jamaica,JAM,NA,NA,99.5,16.8,NA,NA,13.4,15.9,2.6,1.4,42.1,55.1
Japan,JPN,98.5,98.8,100,6.3,3.3,NA,11.6,7.3,9.5,10,0.3,84.6
Jordan,JOR,93.8,80.6,100,3.2,0.7,12.9,33.2,4.4,3,1.8,1.6,66.8
Kazakhstan,KAZ,89.5,NA,100,1.6,0.2,NA,13.1,5.8,14.4,3.2,4.8,76.4
